inputName,TotalOperators,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_303," 525 
"," 51 
"," 320 
"," 176 
"," 845 
"," 227 
"," 6613.43 
"," 306622.82 
"," 0.02 
"," 46.36 
"," 17034.60 
"," 1.52 
"
values_425," 571 
"," 51 
"," 346 
"," 189 
"," 917 
"," 240 
"," 7250.62 
"," 338477.29 
"," 0.02 
"," 46.68 
"," 18804.29 
"," 1.62 
"
values_597," 563 
"," 51 
"," 343 
"," 190 
"," 906 
"," 241 
"," 7169.08 
"," 330022.83 
"," 0.02 
"," 46.03 
"," 18334.60 
"," 1.59 
"
values_517," 473 
"," 51 
"," 282 
"," 153 
"," 755 
"," 204 
"," 5792.68 
"," 272256.01 
"," 0.02 
"," 47 
"," 15125.33 
"," 1.40 
"
values_672," 595 
"," 51 
"," 367 
"," 199 
"," 962 
"," 250 
"," 7663.08 
"," 360376.76 
"," 0.02 
"," 47.03 
"," 20020.93 
"," 1.69 
"
values_340," 477 
"," 51 
"," 285 
"," 150 
"," 762 
"," 201 
"," 5830.10 
"," 282468.41 
"," 0.02 
"," 48.45 
"," 15692.69 
"," 1.44 
"
values_339," 519 
"," 51 
"," 315 
"," 178 
"," 834 
"," 229 
"," 6537.90 
"," 295031.74 
"," 0.02 
"," 45.13 
"," 16390.65 
"," 1.48 
"
values_424," 461 
"," 51 
"," 274 
"," 147 
"," 735 
"," 198 
"," 5607.58 
"," 266531.57 
"," 0.02 
"," 47.53 
"," 14807.31 
"," 1.38 
"
values_9," 526 
"," 51 
"," 319 
"," 177 
"," 845 
"," 228 
"," 6618.79 
"," 304183.98 
"," 0.02 
"," 45.96 
"," 16899.11 
"," 1.51 
"
values_587," 518 
"," 51 
"," 308 
"," 171 
"," 826 
"," 222 
"," 6438.19 
"," 295704.82 
"," 0.02 
"," 45.93 
"," 16428.05 
"," 1.48 
"
values_417," 532 
"," 51 
"," 325 
"," 186 
"," 857 
"," 237 
"," 6760.65 
"," 301230.71 
"," 0.02 
"," 44.56 
"," 16735.04 
"," 1.50 
"
values_116," 530 
"," 51 
"," 318 
"," 175 
"," 848 
"," 226 
"," 6631.51 
"," 307285.31 
"," 0.02 
"," 46.34 
"," 17071.41 
"," 1.52 
"
values_475," 476 
"," 51 
"," 287 
"," 154 
"," 763 
"," 205 
"," 5859.44 
"," 278456.73 
"," 0.02 
"," 47.52 
"," 15469.82 
"," 1.42 
"
values_184," 498 
"," 51 
"," 300 
"," 169 
"," 798 
"," 220 
"," 6209.53 
"," 281082.05 
"," 0.02 
"," 45.27 
"," 15615.67 
"," 1.43 
"
values_223," 504 
"," 51 
"," 305 
"," 173 
"," 809 
"," 224 
"," 6316.15 
"," 283952.93 
"," 0.02 
"," 44.96 
"," 15775.16 
"," 1.44 
"
values_804," 474 
"," 51 
"," 285 
"," 155 
"," 759 
"," 206 
"," 5834.05 
"," 273541.85 
"," 0.02 
"," 46.89 
"," 15196.77 
"," 1.40 
"
values_374," 538 
"," 51 
"," 330 
"," 183 
"," 868 
"," 234 
"," 6831.48 
"," 314135.93 
"," 0.02 
"," 45.98 
"," 17452.00 
"," 1.54 
"
values_864," 439 
"," 51 
"," 261 
"," 137 
"," 700 
"," 188 
"," 5288.21 
"," 256902.89 
"," 0.02 
"," 48.58 
"," 14272.38 
"," 1.35 
"
values_444," 455 
"," 51 
"," 271 
"," 146 
"," 726 
"," 197 
"," 5533.61 
"," 261917.87 
"," 0.02 
"," 47.33 
"," 14550.99 
"," 1.36 
"
values_92," 570 
"," 51 
"," 352 
"," 193 
"," 922 
"," 244 
"," 7312.14 
"," 340071.33 
"," 0.02 
"," 46.51 
"," 18892.85 
"," 1.62 
"
values_773," 483 
"," 51 
"," 292 
"," 165 
"," 775 
"," 216 
"," 6010.04 
"," 271216.62 
"," 0.02 
"," 45.13 
"," 15067.59 
"," 1.40 
"
values_131," 437 
"," 51 
"," 259 
"," 135 
"," 696 
"," 186 
"," 5247.25 
"," 256707.35 
"," 0.02 
"," 48.92 
"," 14261.52 
"," 1.35 
"
values_710," 563 
"," 51 
"," 340 
"," 185 
"," 903 
"," 236 
"," 7118.03 
"," 333585.36 
"," 0.02 
"," 46.86 
"," 18532.52 
"," 1.60 
"
values_693," 525 
"," 51 
"," 317 
"," 172 
"," 842 
"," 223 
"," 6568.36 
"," 308693.72 
"," 0.02 
"," 47.00 
"," 17149.65 
"," 1.52 
"
values_944," 486 
"," 51 
"," 292 
"," 160 
"," 778 
"," 211 
"," 6007.02 
"," 279551.47 
"," 0.02 
"," 46.54 
"," 15530.64 
"," 1.43 
"
values_573," 441 
"," 51 
"," 261 
"," 136 
"," 702 
"," 187 
"," 5297.92 
"," 259266.96 
"," 0.02 
"," 48.94 
"," 14403.72 
"," 1.36 
"
values_712," 498 
"," 51 
"," 297 
"," 161 
"," 795 
"," 212 
"," 6143.70 
"," 289001.79 
"," 0.02 
"," 47.04 
"," 16055.65 
"," 1.46 
"
values_718," 557 
"," 51 
"," 341 
"," 190 
"," 898 
"," 241 
"," 7105.77 
"," 325201.39 
"," 0.02 
"," 45.77 
"," 18066.74 
"," 1.58 
"
values_3," 596 
"," 51 
"," 362 
"," 197 
"," 958 
"," 248 
"," 7620.12 
"," 357062.58 
"," 0.02 
"," 46.86 
"," 19836.81 
"," 1.68 
"
values_805," 571 
"," 51 
"," 348 
"," 194 
"," 919 
"," 245 
"," 7293.77 
"," 333633.59 
"," 0.02 
"," 45.74 
"," 18535.20 
"," 1.60 
"
values_98," 426 
"," 51 
"," 253 
"," 129 
"," 679 
"," 180 
"," 5086.97 
"," 254407.56 
"," 0.02 
"," 50.01 
"," 14133.75 
"," 1.34 
"
values_304," 476 
"," 51 
"," 288 
"," 159 
"," 764 
"," 210 
"," 5893.68 
"," 272221.46 
"," 0.02 
"," 46.19 
"," 15123.41 
"," 1.40 
"
