id,cInstr
values_61,1431
values_511,888
values_729,7292
values_460,5458
values_832,154
values_348,4638
values_182,88
values_986,112
values_180,13306
values_930,12076
values_274,11400
values_309,11110
values_496,2183
values_165,1627
values_553,4994
values_870,244
values_795,1236
values_361,3702
values_302,2670
values_586,75
values_880,3984
values_665,1131
values_527,3010
values_372,110
values_382,5685
values_43,7543
values_935,3200
values_2,111
values_790,468
values_152,5257
values_871,1984
values_434,1369
values_775,3857
values_500,7643
values_220,3434
values_875,11773
values_249,5529
values_808,13422
values_859,1473
values_539,6537
values_635,94
values_311,646
values_183,903
values_54,12002
values_390,6779
values_890,917
values_711,7849
values_471,4208
values_995,3402
values_443,1637
values_464,3239
values_774,277
values_200,4205
values_747,7499
values_758,733
values_30,1116
values_820,10950
values_393,78
values_576,497
values_445,5683
values_662,99
values_403,3888
values_640,3124
values_59,6719
values_490,6434
values_194,3640
values_751,2743
values_663,11853
values_938,6255
values_532,526
values_885,107
values_713,4994
values_193,363
values_650,10311
values_564,3667
values_267,8949
values_147,43
values_709,732
values_857,235
values_334,1987
values_965,2203
values_824,1015
values_784,295
values_229,4390
values_538,2689
values_463,3071
values_741,3643
values_85,10230
values_493,1995
values_794,239
values_202,1457
values_74,420
values_410,9526
values_469,5295
values_394,12963
values_149,11337
values_945,3867
values_293,21
values_456,12912
values_975,926
values_547,86
values_164,1039
values_720,8552
values_833,341
values_90,4777
values_954,1638
values_483,373
values_990,9312
values_113,5881
values_878,1214
values_942,4966
values_126,10654
values_666,2699
values_960,8443
values_783,2962
values_735,5944
values_439,6318
values_860,1617
values_18,5750
values_173,91
values_454,7572
values_176,6453
values_698,3131
values_869,400
values_697,6459
values_509,121
values_189,1195
values_714,1269
values_270,191
values_863,4172
values_548,9522
values_359,2672
values_512,11202
values_656,2654
values_684,6572
values_171,13
values_675,1547
values_657,3032
values_333,4085
values_599,11339
values_129,4567
values_886,3301
values_107,2484
values_272,11236
values_52,4900
values_819,93
values_682,55
values_44,1141
values_914,159
values_346,507
values_151,8554
values_550,9188
values_326,332
values_836,1896
values_437,287
values_984,9819
values_17,2160
values_748,4062
values_581,3811
values_705,3665
values_121,6407
values_219,611
values_321,7598
values_843,4634
values_606,1485
values_898,3661
values_601,6385
values_36,6958
values_282,74
values_395,3117
values_449,128
values_209,2123
values_956,6508
values_579,380
values_484,3183
values_521,8444
values_617,8951
values_516,697
values_358,8025
values_335,5439
values_139,3643
values_992,5113
values_211,5603
values_507,35
values_921,11485
values_138,237
values_275,2139
values_614,1293
values_49,1653
values_227,2340
values_203,11336
values_172,3737
values_86,148
values_178,6452
values_978,5811
values_253,4602
values_291,1874
values_911,3257
values_230,8805
values_318,5017
values_798,6479
values_638,13858
values_112,1075
values_201,186
values_629,9952
values_337,282
values_37,4198
values_56,5348
values_316,2673
values_829,13106
values_63,108
values_35,304
values_519,9427
values_481,693
values_278,12050
values_186,7513
values_702,1491
values_722,7041
values_97,3013
values_329,3907
values_75,9529
values_560,35
values_612,134
values_421,7241
values_639,11200
values_939,45
values_198,5283
values_840,4660
values_415,3523
values_405,7532
values_100,7323
values_726,2657
values_265,275
values_743,1929
values_436,1195
values_583,10218
values_525,2467
values_677,1127
values_289,1727
values_255,1620
values_529,2894
values_826,5809
values_362,9126
values_355,11495
values_506,9055
values_315,5195
values_604,2260
values_57,5667
values_133,4222
values_787,1614
values_799,411
values_765,1092
values_887,4261
values_952,27
values_631,234
values_306,10674
values_497,2706
values_821,9440
values_618,1188
values_271,3540
values_645,8619
values_985,7251
values_400,7235
values_562,4907
values_590,7688
values_648,444
values_325,5101
values_883,1655
values_827,8370
values_854,5871
values_307,619
values_88,3190
values_958,6575
values_251,10928
values_902,82
values_680,13
values_884,147
values_901,3920
values_354,11705
values_420,2202
values_103,3327
values_10,5795
values_474,9686
values_53,2130
values_8,8949
values_39,1067
values_755,1311
values_124,48
values_841,2853
values_510,9354
values_989,11138
values_706,83
values_257,1038
values_811,4671
values_111,730
values_47,264
values_928,2036
values_561,5658
values_383,4399
values_498,476
values_60,1585
values_737,374
values_624,12854
values_973,800
values_472,103
values_280,3178
values_389,2619
values_651,112
values_642,11925
values_668,2882
values_551,468
values_750,1086
values_592,3587
values_89,16
values_411,406
values_620,7438
values_357,527
values_247,801
values_692,2748
values_572,7983
values_757,1270
values_566,1183
values_216,85
values_951,27
values_910,5472
values_338,352
values_461,7113
values_730,7987
values_734,6256
values_51,11402
values_678,594
values_327,24
values_473,1101
values_453,9236
values_154,3293
values_452,3040
values_221,6485
values_323,557
values_844,45
values_673,11898
values_427,507
values_933,5140
values_802,11895
values_852,188
values_487,10815
values_762,4348
values_515,2205
values_479,24
values_948,12071
values_467,6560
values_14,8689
values_868,6687
values_188,2041
values_489,4504
values_865,5905
values_728,5806
values_996,10644
values_277,2576
values_936,2905
values_554,7048
values_763,8811
values_834,656
values_613,443
values_907,39
values_825,223
values_308,10755
values_294,7580
values_522,1080
values_322,6797
values_28,1621
values_760,2735
values_559,7881
values_685,8613
values_908,10467
values_919,640
values_724,2668
values_947,68
values_214,5183
values_468,10726
values_967,9950
values_234,8063
values_983,3393
values_719,6855
values_110,5459
values_235,6885
values_588,4049
values_185,11636
values_732,5106
values_896,189
values_888,3446
values_923,8297
values_767,209
values_179,9614
values_195,4357
values_148,2480
values_917,4979
values_634,299
values_157,1822
values_314,4671
values_879,3820
values_16,2841
values_839,5715
values_150,8795
values_835,4950
values_161,27
values_34,3959
values_959,4307
values_264,1968
values_123,8449
values_623,6909
values_187,16
values_575,9395
values_466,8646
values_621,185
values_82,12207
values_352,243
values_779,795
values_946,890
values_756,164
values_502,336
values_641,6622
values_882,794
values_46,1325
values_721,4507
values_105,3270
values_284,9529
values_295,4771
values_423,10571
values_544,4859
values_384,4572
values_206,1409
values_817,7726
values_788,261
values_205,5425
values_243,7078
values_619,752
values_514,71
values_703,186
values_605,7944
values_659,118
values_929,1776
values_365,5814
values_495,6864
values_431,736
values_482,5605
values_611,3882
values_846,1061
values_27,1334
values_736,6634
values_815,2794
values_145,5002
values_582,593
values_492,3269
values_881,5356
values_237,7388
values_409,7007
values_108,3663
values_299,2802
values_20,1329
values_485,2398
values_303,4328
values_425,8175
values_597,7188
values_517,877
values_672,10641
values_340,1354
values_339,3451
values_424,648
values_9,4275
values_587,2975
values_417,5013
values_116,4336
values_475,1502
values_184,2275
values_223,2831
values_804,1105
values_374,5482
values_864,250
values_444,498
values_92,8628
values_773,1821
values_131,183
values_710,6642
values_693,3989
values_944,1716
values_573,232
values_712,2164
values_718,7595
values_3,10358
values_805,7858
values_98,51
values_304,1276
values_897,8942
values_153,101
values_368,4859
values_689,1205
values_830,8018
values_29,8584
values_301,395
values_286,88
values_580,975
values_593,7570
values_80,12022
values_416,1456
values_305,9857
values_142,2086
values_800,59
values_661,6407
values_73,8949
values_297,3445
values_167,6913
values_594,1029
values_367,10477
values_552,10104
values_608,1016
values_797,887
values_288,10796
values_764,1201
values_622,10089
values_785,2335
values_676,327
values_330,11114
values_595,103
values_968,2407
values_503,8190
values_378,461
values_610,7338
